Nama Produk,Tahun Rilis,CPU,Kapasitas Baterai,RAM,Memori Internal,Kamera Utama,Kamera Selfie,Resolusi,Tipe Layar,Operasi Sistem
Apple iPhone 1st gen A1203 8GB  (Apple iPhone 1.1),Jun 2007,Samsung S5L8900 APL0098,1400 mAh,128 MB,8 GB,1 MP,-,320x480,Color TN-TFT LCD,Apple iPhone OS 1.0
Apple iPhone 1st gen A1203 4GB   (Apple iPhone 1.1),Jun 2007,Samsung S5L8900 APL0098,1400 mAh,128 MB,4 GB,1 MP,-,320x480,Color TN-TFT LCD,Apple iPhone OS 1.0
Apple iPhone 1st gen A1203 16GB  (Apple iPhone 1.1),Feb 2008,Samsung S5L8900 APL0098,1400 mAh,128 MB,16 GB,1 MP,-,320x480,Color TN-TFT LCD,Apple iPhone OS 1.0
Apple iPhone 3G A1241 16GB  (Apple iPhone 1.2),Jul 2008,Samsung S5L8900 APL0098,1150 mAh,128 MB,16 GB,1 MP,-,320x480,Color TN-TFT LCD,Apple iPhone OS 2.0
Apple iPhone 3G A1241 8GB  (Apple iPhone 1.2),Jul 2008,Samsung S5L8900 APL0098,1150 mAh,128 MB,8 GB,1 MP,-,320x480,Color TN-TFT LCD,Apple iPhone OS 2.0
Apple iPhone 3GS A1303 32GB  (Apple iPhone 2.1),Jun 2009,Samsung S5PC100,1220 mAh,256 MB,32 GB,3 MP,-,320x480,Color TN-TFT LCD,Apple iPhone OS 3.0
Apple iPhone 3GS A1303 16GB  (Apple iPhone 2.1),Jun 2009,Samsung S5PC100,1220 mAh,256 MB,16 GB,3 MP,-,320x480,Color TN-TFT LCD,Apple iPhone OS 3.0
Apple iPhone 3GS CU A1325 32GB  (Apple iPhone 2.1),Oct 2009,Samsung S5PC100,1220 mAh,256 MB,32 GB,3 MP,-,320x480,Color TN-TFT LCD,Apple iPhone OS 3.0
Apple iPhone 3GS CU A1325 16GB  (Apple iPhone 2.1),Oct 2009,Samsung S5PC100,1220 mAh,256 MB,16 GB,3 MP,-,320x480,Color TN-TFT LCD,Apple iPhone OS 3.0
Apple iPhone 3G CU A1324 8GB  (Apple iPhone 1.2),Oct 2009,Samsung S5L8900 APL0098,1150 mAh,128 MB,8 GB,1 MP,-,320x480,Color TN-TFT LCD,Apple iPhone OS 2.0
Apple iPhone 3GS A1303 8GB  (Apple iPhone 2.1),Jun 2010,Samsung S5PC100,1220 mAh,256 MB,8 GB,3 MP,-,320x480,Color TN-TFT LCD,Apple iPhone OS 3.0
Apple iPhone 4 A1332 16GB  (Apple iPhone 3.1),Jun 2010,Samsung-Intrinsity Apple A4 APL0398 (S5L8930),1420 mAh,512 MB,16 GB,4 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 4.0
Apple iPhone 4 A1332 32GB  (Apple iPhone 3.1),Jun 2010,Samsung-Intrinsity Apple A4 APL0398 (S5L8930),1420 mAh,512 MB,32 GB,4 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 4.0
Apple iPhone 4 CDMA A1349 16GB  (Apple iPhone 3.3),Feb 2011,Samsung-Intrinsity Apple A4 APL0398 (S5L8930),1420 mAh,512 MB,16 GB,4 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 4.2
Apple iPhone 4 CDMA A1349 8GB  (Apple iPhone 3.3),Feb 2011,Samsung-Intrinsity Apple A4 APL0398 (S5L8930),1420 mAh,512 MB,8 GB,4 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 4.2
Apple iPhone 4 CDMA A1349 32GB  (Apple iPhone 3.3),Feb 2011,Samsung-Intrinsity Apple A4 APL0398 (S5L8930),1420 mAh,512 MB,32 GB,4 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 4.2
Apple iPhone 4 A1332 8GB  (Apple iPhone 3.1),Oct 2011,Samsung-Intrinsity Apple A4 APL0398 (S5L8930),1420 mAh,512 MB,8 GB,4 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 4.0
Apple iPhone 4S A1387 64GB  (Apple iPhone 4.1),Oct 2011,Apple A5 APL0498 (S5L8940),-,512 MB,64 GB,8 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 5
Apple iPhone 4 A1332 Rev. A 8GB  (Apple iPhone 3.2),Oct 2011,Samsung-Intrinsity Apple A4 APL0398 (S5L8930),1420 mAh,512 MB,8 GB,4 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 4.0
Apple iPhone 4S A1387 32GB  (Apple iPhone 4.1),Oct 2011,Apple A5 APL0498 (S5L8940),-,512 MB,32 GB,8 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 5
Apple iPhone 4S A1387 16GB  (Apple iPhone 4.1),Oct 2011,Apple A5 APL0498 (S5L8940),-,512 MB,16 GB,8 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 5
Apple iPhone 5 CDMA A1429 16GB  (Apple iPhone 5.2),Mar 2012,Apple A6 APL0598 (S5L8950X),1440 mAh,1 GB,16 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 6
Apple iPhone 5 A1429 16GB  (Apple iPhone 5.2),Mar 2012,Apple A6 APL0598 (S5L8950X),1440 mAh,1 GB,16 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 6
Apple iPhone 5 A1429 32GB  (Apple iPhone 5.2),Mar 2012,Apple A6 APL0598 (S5L8950X),1440 mAh,1 GB,32 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 6
Apple iPhone 4S A1387 8GB  (Apple iPhone 4.1),Sep 2012,Apple A5 APL0498 (S5L8940),-,512 MB,8 GB,8 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 5
Apple iPhone 5 A1428 16GB  (Apple iPhone 5.1),Sep 2012,Apple A6 APL0598 (S5L8950X),1440 mAh,1 GB,16 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 6
Apple iPhone 5 A1428 64GB  (Apple iPhone 5.1),Sep 2012,Apple A6 APL0598 (S5L8950X),1440 mAh,1 GB,64 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 6
Apple iPhone 5 CDMA A1429 64GB  (Apple iPhone 5.2),Sep 2012,Apple A6 APL0598 (S5L8950X),1440 mAh,1 GB,64 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 6
Apple iPhone 5 CDMA A1429 32GB  (Apple iPhone 5.2),Sep 2012,Apple A6 APL0598 (S5L8950X),1440 mAh,1 GB,32 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 6
Apple iPhone 5 A1428 32GB  (Apple iPhone 5.1),Sep 2012,Apple A6 APL0598 (S5L8950X),1440 mAh,1 GB,32 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 6
Apple iPhone 4S CDMA A1431 8GB  (Apple iPhone 4.1),Sep 2012,Apple A5 APL0498 (S5L8940),1420 mAh,512 MB,8 GB,8 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 5.0.1
Apple iPhone 5 CDMA A1442 16GB  (Apple iPhone 5.2),Sep 2012,Apple A6 APL0598 (S5L8950X),1440 mAh,1 GB,16 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 6
Apple iPhone 5 CDMA A1442 64GB  (Apple iPhone 5.2),Sep 2012,Apple A6 APL0598 (S5L8950X),1440 mAh,1 GB,64 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 6
Apple iPhone 5 CDMA A1442 32GB  (Apple iPhone 5.2),Sep 2012,Apple A6 APL0598 (S5L8950X),1440 mAh,1 GB,32 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 6
Apple iPhone 5 A1429 64GB  (Apple iPhone 5.2),Oct 2012,Apple A6 APL0598 (S5L8950X),1440 mAh,1 GB,64 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 6
Apple iPhone 4S CDMA A1431 64GB  (Apple iPhone 4.1),Dec 2012,Apple A5 APL0498 (S5L8940),1420 mAh,512 MB,64 GB,8 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 5.0.1
Apple iPhone 4S CDMA A1431 32GB  (Apple iPhone 4.1),Dec 2012,Apple A5 APL0498 (S5L8940),1420 mAh,512 MB,32 GB,8 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 5.0.1
Apple iPhone 4S CDMA A1431 16GB  (Apple iPhone 4.1),Dec 2012,Apple A5 APL0498 (S5L8940),1420 mAh,512 MB,16 GB,8 MP,1 MP,640x960,Color IPS TFT LCD,Apple iOS 5.0.1
Apple iPhone 5c CDMA A1532 32GB  (Apple iPhone 5.3),Sep 2013,Apple A6 APL0598 (S5L8950X),1510 mAh,1 GB,32 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5s CU A1528 64GB  (Apple iPhone 6.2),Sep 2013,Apple A7 APL0698 (S5L8960X),1560 mAh,1 GB,64 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5s CU A1528 32GB  (Apple iPhone 6.2),Sep 2013,Apple A7 APL0698 (S5L8960X),1560 mAh,1 GB,32 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5c CU A1526 32GB  (Apple iPhone 5.4),Sep 2013,Apple A6 APL0598 (S5L8950X),1510 mAh,1 GB,32 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5s CU A1528 16GB  (Apple iPhone 6.2),Sep 2013,Apple A7 APL0698 (S5L8960X),1560 mAh,1 GB,16 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5c CU A1526 16GB  (Apple iPhone 5.4),Sep 2013,Apple A6 APL0598 (S5L8950X),1510 mAh,1 GB,16 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5s A1457 16GB  (Apple iPhone 6.2),Sep 2013,Apple A7 APL0698 (S5L8960X),1560 mAh,1 GB,16 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5c CDMA A1456 32GB  (Apple iPhone 5.3),Sep 2013,Apple A6 APL0598 (S5L8950X),1510 mAh,1 GB,32 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5c A1507 32GB  (Apple iPhone 5.4),Sep 2013,Apple A6 APL0598 (S5L8950X),1510 mAh,1 GB,32 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5s A1457 64GB  (Apple iPhone 6.2),Sep 2013,Apple A7 APL0698 (S5L8960X),1560 mAh,1 GB,64 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5s A1457 32GB  (Apple iPhone 6.2),Sep 2013,Apple A7 APL0698 (S5L8960X),1560 mAh,1 GB,32 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5c A1507 16GB  (Apple iPhone 5.4),Sep 2013,Apple A6 APL0598 (S5L8950X),1510 mAh,1 GB,16 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5c CDMA A1456 16GB  (Apple iPhone 5.3),Sep 2013,Apple A6 APL0598 (S5L8950X),1510 mAh,1 GB,16 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5c TD-LTE A1529 16GB  (Apple iPhone 5.4),Sep 2013,Apple A6 APL0598 (S5L8950X),1510 mAh,1 GB,16 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5s TD-LTE A1530 16GB  (Apple iPhone 6.2),Sep 2013,Apple A7 APL0698 (S5L8960X),1560 mAh,1 GB,16 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7.0.2
Apple iPhone 5s TD-LTE A1530 64GB  (Apple iPhone 6.2),Sep 2013,Apple A7 APL0698 (S5L8960X),1560 mAh,1 GB,64 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7.0.2
Apple iPhone 5c TD-LTE A1529 32GB  (Apple iPhone 5.4),Sep 2013,Apple A6 APL0598 (S5L8950X),1510 mAh,1 GB,32 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5s TD-LTE A1530 32GB  (Apple iPhone 6.2),Sep 2013,Apple A7 APL0698 (S5L8960X),1560 mAh,1 GB,32 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7.0.2
Apple iPhone 5s CDMA A1453 16GB  (Apple iPhone 6.1),Oct 2013,Apple A7 APL0698 (S5L8960X),1560 mAh,1 GB,16 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5s A1533 32GB  (Apple iPhone 6.1),Oct 2013,Apple A7 APL0698 (S5L8960X),1560 mAh,1 GB,32 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
Apple iPhone 5c A1532 32GB  (Apple iPhone 5.3),Oct 2013,Apple A6 APL0598 (S5L8950X),1510 mAh,1 GB,32 GB,8 MP,1 MP,640x1136,Color IPS TFT LCD,Apple iOS 7
