Nama Produk,Tahun Rilis,CPU,Kapasitas Baterai,RAM,Memori Internal,Kamera Utama,Kamera Selfie,Resolusi,Tipe Layar,Operasi Sistem
Sony Xperia acro au IS11S,Jun 2011,Qualcomm Snapdragon S2 MSM8655,1500 mAh,512 MB,1 GB,8 MP,-,480x854,Color PVA TFT LCD,Google Android 2.3 (Gingerbread)
Sony Xperia NX SO-02D  (Sony Nozomi),Feb 2012,Qualcomm Snapdragon S3 MSM8260,1750 mAh,1 GB,32 GB,12 MP,1 MP,720x1280,Color PVA TFT LCD,Google Android 2.3.7 (Gingerbread)
Sony Xperia acro HD SO-03D  (Sony Hikari),Mar 2012,Qualcomm Snapdragon S3 MSM8260,1840 mAh,1 GB,16 GB,12 MP,1 MP,720x1280,Color PVA TFT LCD,Google Android 2.3.7 (Gingerbread)
Sony Xperia S LT26 / LT26i / Arc HD  (Sony Nozomi),Mar 2012,Qualcomm Snapdragon S3 MSM8260,1750 mAh,1 GB,4 GB,12 MP,1 MP,720x1280,Color PVA TFT LCD,Google Android 2.3.7 (Gingerbread)
Sony Xperia acro HD IS12S  (Sony Hayate),Apr 2012,Qualcomm Snapdragon S3 MSM8660,1840 mAh,1 GB,16 GB,12 MP,1 MP,720x1280,Color PVA TFT LCD,Google Android 2.3.7 (Gingerbread)
Sony Xperia U ST25 / ST25i  (Sony Kumquat),May 2012,ST-Ericsson NovaThor U8500,1320 mAh,512 MB,8 GB,5 MP,1 MP,480x854,Color PVA TFT LCD,Google Android 2.3.7 (Gingerbread)
Sony Xperia Sola MT27 / MT27i  (Sony Pepper),May 2012,ST-Ericsson NovaThor U8500,1320 mAh,512 MB,8 GB,5 MP,-,480x854,Color PVA TFT LCD,Google Android 2.3.7 (Gingerbread)
Sony Xperia P LT22 / LT22i  (Sony Nyphon),May 2012,ST-Ericsson NovaThor U8500,1300 mAh,1 GB,16 GB,8 MP,1 MP,540x960,Color PVA TFT LCD,Google Android 2.3.7 (Gingerbread)
Sony Xperia U ST25a  (Sony Kumquat),May 2012,ST-Ericsson NovaThor U8500,1320 mAh,512 MB,8 GB,5 MP,1 MP,480x854,Color PVA TFT LCD,Google Android 2.3.7 (Gingerbread)
Sony Xperia SX SO-05D,Jun 2012,Qualcomm Snapdragon S4 MSM8960,1500 mAh,1 GB,8 GB,8 MP,-,540x960,Color PVA TFT LCD,Google Android 4.0.4 (Ice Cream Sandwich)
Sony Xperia Ion LT28 / LT28i  (Sony Aoba),Jun 2012,Qualcomm Snapdragon S3 MSM8260,1900 mAh,1 GB,16 GB,12 MP,1 MP,720x1280,Color PVA TFT LCD,Google Android 2.3.7 (Gingerbread)
Sony Xperia Ion LT28at  (Sony Aoba),Jun 2012,Qualcomm Snapdragon S3 MSM8260,1900 mAh,1 GB,16 GB,12 MP,1 MP,720x1280,Color PVA TFT LCD,Google Android 2.3.7 (Gingerbread)
Sony Xperia Neo L MT25 / MT25i,Jul 2012,Qualcomm Snapdragon S2 MSM8255,1500 mAh,512 MB,1 GB,5 MP,1 MP,480x854,Color PVA TFT LCD,Google Android 4.0.3 (Ice Cream Sandwich)
Sony Xperia Tipo ST21 / ST21i  (Sony Tapioca SS),Jul 2012,Qualcomm MSM7225A (Snapdragon S1),1460 mAh,512 MB,4 GB,3 MP,-,320x480,Color TN-TFT LCD,Google Android 4.0.3 (Ice Cream Sandwich)
Sony Xperia Miro ST23 / ST23i  (Sony Mesona),Jul 2012,Qualcomm MSM7225A (Snapdragon S1),1500 mAh,512 MB,4 GB,5 MP,1 MP,320x480,Color TN-TFT LCD,Google Android 4.0.4 (Ice Cream Sandwich)
