Nama Produk,Tahun Rilis,CPU,Kapasitas Baterai,RAM,Memori Internal,Kamera Utama,Kamera Selfie,Resolusi,Tipe Layar,Operasi Sistem
Vivo X1,Dec 2012,MediaTek MT6577,2000 mAh,1 GB,16 GB,7 MP,1 MP,540x960,Color IPS TFT LCD,Google Android 4.1 (Jelly Bean)
Vivo X1S,Apr 2013,MediaTek MT6589,2000 mAh,1 GB,16 GB,8 MP,1 MP,720x1280,Color IPS TFT LCD,Google Android 4.2.1 (Jelly Bean)
Vivo Y19t,Jul 2013,MediaTek MT6589,2000 mAh,1 GB,4 GB,8 MP,5 MP,540x960,Color IPS TFT LCD,Google Android 4.2.1 (Jelly Bean)
Vivo Y17 HSPA,Aug 2013,MediaTek MT6582,2000 mAh,1 GB,8 GB,8 MP,4 MP,720x1280,Color IPS TFT LCD,Google Android 4.2.2 (Jelly Bean)
Vivo X5 Xplay,Aug 2013,Qualcomm Snapdragon 600 APQ8064T,3200 mAh,2 GB,32 GB,13 MP,5 MP,1080x1920,Color IPS TFT LCD,Google Android 4.2.1 (Jelly Bean)
Vivo X3t,Aug 2013,MediaTek MT6589T Turbo,2000 mAh,1 GB,16 GB,8 MP,5 MP,720x1280,Color TN-TFT LCD,Google Android 4.2.1 (Jelly Bean)
Vivo Y15,Oct 2013,MediaTek MT6582,1900 mAh,1 GB,4 GB,8 MP,1 MP,480x854,Color IPS TFT LCD,Google Android 4.2.2 (Jelly Bean)
Vivo Y11i TD,Oct 2013,MediaTek MT6582,1700 mAh,512 MB,4 GB,5 MP,1 MP,480x800,Color IPS TFT LCD,Google Android 4.2.2 (Jelly Bean)
Vivo Y20 Dual SIM TD,Dec 2013,MediaTek MT6582,2500 mAh,1 GB,4 GB,8 MP,8 MP,720x1280,Color IPS TFT LCD,Google Android 4.2.2 (Jelly Bean)
Vivo Xplay 3S X520L,Feb 2014,Qualcomm Snapdragon 800 MSM8974AB v2,3200 mAh,3 GB,32 GB,13 MP,5 MP,1440x2560,Color TN-TFT LCD,Google Android 4.3 (Jelly Bean)
Vivo X3s,Mar 2014,MediaTek MT6592,2000 mAh,1 GB,16 GB,13 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 4.2.2 (Jelly Bean)
Vivo Xshot TD-LTE X710L,Apr 2014,Qualcomm Snapdragon 801 MSM8974AC v3,2600 mAh,3 GB,32 GB,13 MP,8 MP,1080x1920,Color IPS TFT LCD,Google Android 4.3 (Jelly Bean)
Vivo Y18L 4G TD-LTE,May 2014,Qualcomm Snapdragon 400 MSM8926,2260 mAh,1 GB,4 GB,8 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 4.3 (Jelly Bean)
Vivo Y22 TD,May 2014,MediaTek MT6582,1900 mAh,1 GB,4 GB,8 MP,5 MP,480x854,Color IPS TFT LCD,Google Android 4.2.2 (Jelly Bean)
Vivo X3V TD-LTE,May 2014,Qualcomm Snapdragon 400 MSM8926,2360 mAh,2 GB,16 GB,8 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 4.4.2 (KitKat)
Vivo X3L,May 2014,Qualcomm Snapdragon 400 MSM8926,2360 mAh,2 GB,16 GB,8 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 4.3 (Jelly Bean)
Vivo Y22L 4G TD-LTE CN,Jun 2014,Qualcomm Snapdragon 400 MSM8926,1900 mAh,1 GB,4 GB,8 MP,4 MP,480x854,Color IPS TFT LCD,Google Android 4.2.2 (Jelly Bean)
Vivo Y13L TD-LTE CN,Sep 2014,Qualcomm Snapdragon 410 MSM8916,1900 mAh,1 GB,4 GB,5 MP,1 MP,480x854,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Vivo Y27 TD-LTE,Sep 2014,Qualcomm Snapdragon 410 MSM8916,2260 mAh,1 GB,16 GB,8 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Vivo Y627 LTE-A,Sep 2014,Qualcomm Snapdragon 410 MSM8916,2260 mAh,1 GB,16 GB,8 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Vivo Y927 LTE-A,Sep 2014,Qualcomm Snapdragon 410 MSM8916,2260 mAh,1 GB,16 GB,8 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Vivo X5 4G TD-LTE / X5L,Sep 2014,MediaTek MT6592,2250 mAh,2 GB,16 GB,13 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 4.4.2 (KitKat)
Vivo Xplay 3S X520F TD-LTE,Sep 2014,Qualcomm Snapdragon 800 MSM8974AB v2,3200 mAh,3 GB,32 GB,13 MP,5 MP,1440x2560,Color TN-TFT LCD,Google Android 4.3 (Jelly Bean)
Vivo Y913 Dual SIM TD-LTE,Nov 2014,Qualcomm Snapdragon 410 MSM8916,1900 mAh,1 GB,4 GB,5 MP,1 MP,480x854,Color TN-TFT LCD,Google Android 4.4.4 (KitKat)
